Status,Time,Date
OK,19:39:31,2017-02-27
OK,19:39:33,2017-02-27
OK,19:39:34,2017-02-27
OK,19:39:36,2017-02-27
OK,19:39:38,2017-02-27
OK,19:39:40,2017-02-27
OK,19:39:42,2017-02-27
OK,19:39:44,2017-02-27
OK,19:39:46,2017-02-27
OK,19:39:48,2017-02-27
OK,19:39:49,2017-02-27
OK,19:39:51,2017-02-27
OK,19:40:24,2017-02-27
OK,19:40:26,2017-02-27
OK,19:40:29,2017-02-27
OK,19:41:58,2017-02-27
OK,19:42:05,2017-02-27
OK,19:42:07,2017-02-27
OK,19:42:08,2017-02-27
OK,19:42:10,2017-02-27
OK,19:42:13,2017-02-27
OK,19:42:15,2017-02-27
OK,19:42:18,2017-02-27
OK,19:42:21,2017-02-27
OK,19:42:24,2017-02-27
OK,19:42:30,2017-02-27
OK,19:42:34,2017-02-27
OK,19:42:38,2017-02-27
OK,20:13:51,2017-02-27
OK,20:13:54,2017-02-27
OK,20:17:27,2017-02-27
OK,20:17:29,2017-02-27
OK,20:17:31,2017-02-27
OK,20:17:33,2017-02-27
OK,20:17:35,2017-02-27
OK,20:17:37,2017-02-27
OK,20:17:39,2017-02-27
OK,20:17:43,2017-02-27
OK,20:17:44,2017-02-27
OK,20:19:24,2017-02-27
OK,20:19:26,2017-02-27
OK,20:19:31,2017-02-27
OK,20:19:34,2017-02-27
OK,20:19:37,2017-02-27
OK,20:19:40,2017-02-27
OK,20:19:43,2017-02-27
OK,20:19:46,2017-02-27
OK,20:19:47,2017-02-27
OK,20:19:49,2017-02-27
OK,20:19:52,2017-02-27
OK,20:19:53,2017-02-27
OK,20:21:42,2017-02-27
OK,20:21:44,2017-02-27
OK,20:22:06,2017-02-27
OK,20:22:08,2017-02-27
OK,20:22:10,2017-02-27
OK,20:22:12,2017-02-27
OK,20:22:14,2017-02-27
OK,20:23:29,2017-02-27
OK,20:24:05,2017-02-27
OK,20:25:27,2017-02-27
OK,20:25:28,2017-02-27
OK,20:25:30,2017-02-27
OK,20:25:32,2017-02-27
OK,20:25:32,2017-02-27
OK,20:25:35,2017-02-27
OK,20:25:36,2017-02-27
OK,20:25:38,2017-02-27
OK,20:25:40,2017-02-27
OK,20:26:05,2017-02-27
OK,20:26:07,2017-02-27
OK,20:26:09,2017-02-27
OK,20:26:11,2017-02-27
OK,20:26:13,2017-02-27
OK,20:26:15,2017-02-27
OK,20:26:18,2017-02-27
OK,20:26:20,2017-02-27
OK,20:27:23,2017-02-27
OK,20:27:25,2017-02-27
OK,20:27:29,2017-02-27
OK,20:27:32,2017-02-27
OK,20:27:33,2017-02-27
OK,20:28:50,2017-02-27
OK,20:29:02,2017-02-27
OK,20:29:04,2017-02-27
OK,20:30:22,2017-02-27
OK,20:30:24,2017-02-27
OK,20:30:26,2017-02-27
OK,20:30:28,2017-02-27
OK,20:30:30,2017-02-27
OK,20:30:32,2017-02-27
OK,20:30:35,2017-02-27
OK,20:30:38,2017-02-27
OK,20:30:39,2017-02-27
OK,20:30:42,2017-02-27
OK,20:30:43,2017-02-27
OK,20:30:45,2017-02-27
OK,20:41:40,2017-02-27
OK,20:41:42,2017-02-27
OK,20:41:57,2017-02-27
OK,20:41:58,2017-02-27
OK,20:48:17,2017-02-27
OK,20:48:19,2017-02-27
OK,20:48:21,2017-02-27
OK,20:48:22,2017-02-27
OK,20:48:24,2017-02-27
OK,20:48:26,2017-02-27
